seed,condition,label,score_manifold,score_naive
47,zz_scale_0.05,1,3.683491580395974,7.266844171760825
47,zz_scale_0.05,1,3.761911492846263,7.13370906738793
47,zz_scale_0.05,1,3.344122518204751,6.923622300773645
47,zz_scale_0.05,1,4.034255283533098,6.8945871979808135
47,zz_scale_0.05,1,4.157794389209998,6.756514651197894
47,zz_scale_0.05,1,3.412502607274476,7.026430346527998
47,zz_scale_0.05,1,4.170606055409619,7.530941424751686
47,zz_scale_0.05,1,3.8807920122349,7.2051987589581
47,zz_scale_0.15,1,4.2042919287270974,7.468917192985705
47,zz_scale_0.15,1,4.2558031357489545,7.0260759167691536
47,zz_scale_0.15,1,4.1875106825491395,8.145721414917382
47,zz_scale_0.15,1,4.516594725572155,7.59003119611637
47,zz_scale_0.15,1,4.257044214087413,7.615376303323849
47,zz_scale_0.15,1,4.44053230981541,7.593572544441312
47,zz_scale_0.15,1,4.704173933241872,7.964995289600751
47,zz_scale_0.15,1,4.0416823200027565,7.819882590477278
47,zz_scale_0.15,1,4.079815305839761,7.600229519717407
47,zz_scale_0.15,1,4.478383897256028,7.264684030610066
47,zz_scale_0.15,1,4.191698603495288,7.686603337894134
47,zz_scale_0.15,1,4.957528377951292,8.117617066481728
47,zz_scale_0.15,1,4.4667354675438515,7.7178459494954295
47,zz_scale_0.15,1,4.2351180178785786,7.014624991097598
47,zz_scale_0.15,1,4.27572041448574,7.794188189208557
47,zz_scale_0.3,1,5.845307586478074,8.66501995953961
47,zz_scale_0.3,1,4.847792133242839,8.326764672052114
47,zz_scale_0.3,1,5.4927397886650535,8.545385685785243
47,zz_scale_0.3,1,5.368288539783509,8.670721152976345
47,zz_scale_0.3,1,4.929727543448336,8.390084432119401
47,zz_scale_0.3,1,5.850823767069431,9.333609014155009
47,zz_scale_0.3,1,5.331437456326318,9.153402908311575
47,zz_scale_0.3,1,4.275615861526094,8.411611395426661
47,zz_scale_0.3,1,4.905562545971749,8.701171545815878
47,zz_scale_0.3,1,5.056589412950228,8.520350175369895
47,zz_scale_0.3,1,5.533721664341951,8.481753277156882
47,zz_scale_0.3,1,5.427362289538045,8.46976550409688
47,zz_scale_0.3,1,5.6945216539541414,8.808728567477239
47,zz_scale_0.3,1,5.211706418051066,8.830122992486382
47,zz_scale_0.3,1,4.892911415859796,8.19774087213161
47,zz_scale_0.6,1,6.050786256488157,10.642901532651816
47,zz_scale_0.6,1,6.454563816887914,10.9971305700641
47,zz_scale_0.6,1,6.227516917448548,10.57900979741082
47,zz_scale_0.6,1,6.500461715725099,10.877237312801386
47,zz_scale_0.6,1,5.991751453013854,10.421466697247848
47,zz_scale_0.6,1,6.149851104145422,10.060545484708111
47,zz_scale_0.6,1,6.493609210579883,10.572600486350868
47,zz_scale_0.6,1,6.005474652287141,10.74226570003656
47,zz_scale_0.6,1,6.369200298635131,11.241161895178607
47,zz_scale_0.6,1,6.630656378464078,11.124866359377723
47,zz_scale_0.6,1,5.958027972726827,10.998752142525642
47,zz_scale_0.6,1,6.6694943304713545,10.784983451672224
47,zz_scale_0.6,1,6.2356280305559455,10.618973406286706
47,zz_scale_0.6,1,6.425136710444826,10.921858069553295
47,zz_scale_0.6,1,6.874247778688334,10.868977356744075
47,zz_scale_1.0,1,6.576082946341252,11.059816573972716
47,zz_scale_1.0,1,6.56448409926888,11.381606718727536
47,zz_scale_1.0,1,6.689887539432994,11.678769498668421
47,zz_scale_1.0,1,6.410021715260047,11.505578933915826
47,zz_scale_1.0,1,6.149477334722311,11.39748713431386
47,zz_scale_1.0,1,6.982525410320536,11.18581722311407
47,zz_scale_1.0,1,6.193216768527272,11.019112119965957
47,zz_scale_1.0,1,6.082058673898429,11.324376113541847
47,zz_scale_1.0,1,6.351569949612981,10.945399189170434
47,zz_scale_1.0,1,6.882502661480853,11.705126913618292
47,zz_scale_1.0,1,7.293481178091164,12.374350502352309
47,zz_scale_1.0,1,6.579381259240137,11.598478349444648
47,zz_scale_1.0,1,6.6834713500269824,11.52710330381707
47,zz_scale_1.0,1,6.840863083354587,11.822219336266834
47,zz_scale_1.0,1,6.828008178921946,11.511827487568157
47,z_only,1,6.0081400858869625,11.056055146311396
47,z_only,1,6.796844573168383,10.881077483038007
47,z_only,1,6.747393253483282,11.747894087486728
47,z_only,1,7.347945405729842,12.284232309779481
47,z_only,1,6.4387287982883805,11.21260806118422
47,z_only,1,5.795187924228696,11.059006728057039
47,z_only,1,5.858962130721898,10.95891773222219
47,z_only,1,6.3143668203612595,11.617304778024726
47,z_only,1,6.315970311770076,11.218467510217627
47,z_only,1,5.900744211267043,11.443931615337
47,z_only,1,6.106853954172855,11.032138512116049
47,z_only,1,6.426442629195152,11.390417927391008
47,z_only,1,6.361103508968785,11.165496305123604
47,z_only,1,6.1958336741008635,11.325653134198793
47,z_only,1,6.3379988864086725,10.948995970533993
48,clean,0,3.373672964902688,7.749957994518933
48,clean,0,3.756966550999301,8.260611077751776
48,clean,0,3.407482718035113,7.5292089369786535
48,clean,0,4.496922171450377,9.170655499550033
48,clean,0,4.0240267561341385,8.165390941628122
48,clean,0,3.66647788851078,9.073096643578666
48,clean,0,3.5633438283612526,7.84596377815211
48,clean,0,4.330382768782396,8.470701810193054
48,clean,0,4.039995178517013,8.31398517493847
48,clean,0,3.2991608526435297,8.208631067251229
48,clean,0,3.713310950774109,8.528757929841246
48,clean,0,3.705208056857843,8.574699203176806
48,clean,0,3.5098856106093814,8.27595217924571
48,clean,0,4.165722862964757,9.043732277412015
48,clean,0,3.062958858411019,8.3452737920276
48,zz_scale_0.05,1,3.9672527339763803,9.142098218505316
48,zz_scale_0.05,1,4.225710033033282,8.362273058135004
48,zz_scale_0.05,1,3.7933892963809543,8.649385402323562
48,zz_scale_0.05,1,3.615953925373846,9.270981811693218
