seed,noise_p,condition,label,delta_pilot
44,0.1,clean,0,3.005717153200699
44,0.1,clean,0,4.1205186490083765
44,0.1,clean,0,4.20600879246568
44,0.1,clean,0,3.9543929709726577
44,0.1,clean,0,3.624554979414208
44,0.1,clean,0,3.988338536598926
44,0.1,zz_full,1,6.076482042562824
44,0.1,zz_full,1,6.470757292548295
44,0.1,zz_full,1,6.074530875701114
44,0.1,zz_full,1,6.375909792412787
44,0.1,zz_full,1,5.711103104793258
44,0.1,zz_full,1,5.961780331266394
44,0.1,zz_full,1,5.905130052848642
44,0.1,zz_full,1,6.248936840188449
44,0.1,zz_full,1,6.490232954153367
44,0.1,zz_full,1,5.731247425942822
44,0.1,zz_full,1,5.642756816110126
44,0.1,zz_full,1,6.225695649388167
44,0.1,zz_full,1,6.164785045846488
44,0.1,zz_full,1,6.204751069135559
44,0.1,zz_full,1,5.874700796381855
44,0.1,z_only,1,5.436119745945801
44,0.1,z_only,1,6.481523111964472
44,0.1,z_only,1,6.38900206525683
44,0.1,z_only,1,5.6786340460375255
44,0.1,z_only,1,6.833452433534282
44,0.1,z_only,1,5.899608269816513
44,0.1,z_only,1,5.715579400688698
44,0.1,z_only,1,5.7144468971857565
44,0.1,z_only,1,5.842701670512179
44,0.1,z_only,1,6.141167197844604
44,0.1,z_only,1,5.631887849636853
44,0.1,z_only,1,6.211277333712472
44,0.1,z_only,1,6.4140223108586545
44,0.1,z_only,1,6.008655460591799
44,0.1,z_only,1,6.5063378429615994
45,0.0,clean,0,3.6378612951325207
45,0.0,clean,0,3.736559082470711
45,0.0,clean,0,3.99087438728806
45,0.0,clean,0,3.482730847857573
45,0.0,clean,0,3.2181609892533856
45,0.0,clean,0,4.268654810498053
45,0.0,clean,0,4.145910886371787
45,0.0,clean,0,4.060620147634596
45,0.0,clean,0,3.8076002810665988
45,0.0,clean,0,3.928676541006167
45,0.0,clean,0,3.267137884064457
45,0.0,clean,0,4.075832255027671
45,0.0,clean,0,3.3299333528203254
45,0.0,clean,0,4.196628372458395
45,0.0,clean,0,3.6773989726348444
45,0.0,zz_full,1,6.533224732861372
45,0.0,zz_full,1,6.146595276750564
45,0.0,zz_full,1,6.629107832133072
45,0.0,zz_full,1,6.747427476830296
45,0.0,zz_full,1,6.8130616335635175
45,0.0,zz_full,1,6.341706706397355
45,0.0,zz_full,1,6.53057119145506
45,0.0,zz_full,1,6.123558494237243
45,0.0,zz_full,1,6.267861961973925
45,0.0,zz_full,1,6.114047154365955
45,0.0,zz_full,1,6.674715152512838
45,0.0,zz_full,1,6.562966645732565
45,0.0,zz_full,1,6.403713534284327
45,0.0,zz_full,1,6.793244562332354
45,0.0,zz_full,1,5.811978452328524
45,0.0,z_only,1,5.971680161084154
45,0.0,z_only,1,6.006468375210468
45,0.0,z_only,1,5.8845620195617085
45,0.0,z_only,1,5.644087157349851
45,0.0,z_only,1,5.936952934211401
45,0.0,z_only,1,5.8739033519101564
45,0.0,z_only,1,5.674022738196013
45,0.0,z_only,1,5.752470082402017
45,0.0,z_only,1,6.221139239709552
45,0.0,z_only,1,5.898125681646617
45,0.0,z_only,1,5.999540572920222
45,0.0,z_only,1,5.102979809837445
45,0.0,z_only,1,6.592132746267188
45,0.0,z_only,1,6.0713111139310705
45,0.0,z_only,1,6.122660004462431
45,0.01,clean,0,4.51702132966025
45,0.01,clean,0,4.221924394969086
45,0.01,clean,0,3.852075768636408
45,0.01,clean,0,3.8697475587884607
45,0.01,clean,0,4.027651038368506
45,0.01,clean,0,4.0295673024820085
45,0.01,clean,0,3.994568613171422
45,0.01,clean,0,4.57898076323507
45,0.01,clean,0,4.4063766671812425
45,0.01,clean,0,3.7132142587128736
45,0.01,clean,0,4.639436271739866
45,0.01,clean,0,3.9213761571061494
45,0.01,clean,0,3.806542819640422
45,0.01,clean,0,3.7811240391679792
45,0.01,clean,0,3.6279160646324566
