seed,damping_g,condition,label,delta_pilot
44,0.05,zz_full,1,5.913688010974205
44,0.05,zz_full,1,6.272932133940191
44,0.05,zz_full,1,6.003346840377409
44,0.05,zz_full,1,6.190972325728959
44,0.05,zz_full,1,6.301426455337822
44,0.05,zz_full,1,6.044989167351714
44,0.05,zz_full,1,6.425799232207929
44,0.05,zz_full,1,6.0991635407780755
44,0.05,zz_full,1,6.074289241445346
44,0.05,zz_full,1,6.326879311734713
44,0.05,zz_full,1,5.565779403489162
44,0.05,z_only,1,6.177508961316999
44,0.05,z_only,1,5.879027412334497
44,0.05,z_only,1,5.9523061160060005
44,0.05,z_only,1,5.717589677520243
44,0.05,z_only,1,5.916017100531962
44,0.05,z_only,1,6.061187711000165
44,0.05,z_only,1,6.254123838290238
44,0.05,z_only,1,6.075259488196879
44,0.05,z_only,1,5.972897007692392
44,0.05,z_only,1,5.429270774336845
44,0.05,z_only,1,5.909621384155618
44,0.05,z_only,1,6.508799774224605
44,0.05,z_only,1,6.204518333051087
44,0.05,z_only,1,5.750239771147175
44,0.05,z_only,1,6.458815159146386
44,0.1,clean,0,3.8304301619795487
44,0.1,clean,0,4.227720537608386
44,0.1,clean,0,3.8718294110663853
44,0.1,clean,0,3.61822874834938
44,0.1,clean,0,4.288396644439173
44,0.1,clean,0,4.137200095661677
44,0.1,clean,0,3.808025802158411
44,0.1,clean,0,3.6360693320463238
44,0.1,clean,0,4.105332695904229
44,0.1,clean,0,3.900376038515917
44,0.1,clean,0,4.18010930038802
44,0.1,clean,0,4.209305136557273
44,0.1,clean,0,3.9696599084191653
44,0.1,clean,0,4.0179878679356245
44,0.1,clean,0,3.7592036598879153
44,0.1,zz_full,1,5.373477280350022
44,0.1,zz_full,1,5.09865343552848
44,0.1,zz_full,1,5.9457618572095665
44,0.1,zz_full,1,5.1917460485941875
44,0.1,zz_full,1,5.616622271269029
44,0.1,zz_full,1,5.567817068811942
44,0.1,zz_full,1,5.205511884799322
44,0.1,zz_full,1,5.821659472391619
44,0.1,zz_full,1,5.9864033405039505
44,0.1,zz_full,1,5.861588923626418
44,0.1,zz_full,1,6.255533330113043
44,0.1,zz_full,1,5.859847929452778
44,0.1,zz_full,1,5.855204715714188
44,0.1,zz_full,1,5.964143900539037
44,0.1,zz_full,1,6.294322566965871
44,0.1,z_only,1,5.410983490780222
44,0.1,z_only,1,6.637022741462558
44,0.1,z_only,1,5.7596586296025
44,0.1,z_only,1,6.2324167356500615
44,0.1,z_only,1,5.909900774181685
44,0.1,z_only,1,5.912308335762321
44,0.1,z_only,1,5.657443295114396
44,0.1,z_only,1,5.804540410649233
44,0.1,z_only,1,5.705853686600404
44,0.1,z_only,1,6.346935053324399
44,0.1,z_only,1,5.704431625075248
44,0.1,z_only,1,5.9709289621450194
44,0.1,z_only,1,5.731004410819885
44,0.1,z_only,1,4.715776089941248
44,0.1,z_only,1,5.357677992427927
45,0.0,clean,0,3.6945742565321438
45,0.0,clean,0,4.457780247109925
45,0.0,clean,0,3.7510653150729163
45,0.0,clean,0,3.468036818801784
45,0.0,clean,0,3.3641071390913457
45,0.0,clean,0,3.766984920667861
45,0.0,clean,0,3.8340554248282466
45,0.0,clean,0,3.9426723867017874
45,0.0,clean,0,4.356081280835781
45,0.0,clean,0,3.8053473565117244
45,0.0,clean,0,2.9013565932892473
45,0.0,clean,0,3.6734913672240115
45,0.0,clean,0,3.7294455862015723
45,0.0,clean,0,3.6290885258410475
45,0.0,clean,0,3.400719114209338
45,0.0,zz_full,1,6.834820755469532
45,0.0,zz_full,1,6.160297983934029
45,0.0,zz_full,1,5.882915163784757
45,0.0,zz_full,1,5.951714773515872
45,0.0,zz_full,1,6.8398044909362445
45,0.0,zz_full,1,6.518827261067137
45,0.0,zz_full,1,6.327665477363179
45,0.0,zz_full,1,6.4010039102385505
45,0.0,zz_full,1,6.22526138932664
45,0.0,zz_full,1,6.244173041770381
45,0.0,zz_full,1,6.669501036742091
45,0.0,zz_full,1,6.016078660472861
45,0.0,zz_full,1,6.016703959334354
45,0.0,zz_full,1,5.868406563954239
45,0.0,zz_full,1,6.136421096973007
45,0.0,z_only,1,5.543354837645373
45,0.0,z_only,1,5.401307652399478
45,0.0,z_only,1,5.261603275137791
45,0.0,z_only,1,5.768937628582605
45,0.0,z_only,1,6.1935567444069175
45,0.0,z_only,1,5.610633376173386
45,0.0,z_only,1,5.10553932685729
45,0.0,z_only,1,6.253931709411251
45,0.0,z_only,1,5.690640073566363
45,0.0,z_only,1,5.800064316567255
45,0.0,z_only,1,5.284527810899237
45,0.0,z_only,1,5.759587147411914
45,0.0,z_only,1,6.076783813184116
45,0.0,z_only,1,6.366158701568122
45,0.0,z_only,1,5.578523862459707
45,0.01,clean,0,4.392031713868093
45,0.01,clean,0,3.751651770179338
45,0.01,clean,0,3.963077672004953
45,0.01,clean,0,3.6200598700371502
45,0.01,clean,0,3.3687715687959625
45,0.01,clean,0,3.650322573922107
45,0.01,clean,0,3.8765003051896394
45,0.01,clean,0,3.589003779106086
45,0.01,clean,0,4.345352896162283
45,0.01,clean,0,4.154613658741412
45,0.01,clean,0,4.1458767490706485
45,0.01,clean,0,4.148046100014905
45,0.01,clean,0,3.8892553507909877
45,0.01,clean,0,3.823916690165142
45,0.01,clean,0,3.2389141137050244
45,0.01,zz_full,1,6.338788301345277
45,0.01,zz_full,1,6.011769220073636
45,0.01,zz_full,1,6.140606916129989
45,0.01,zz_full,1,6.552759800132321
45,0.01,zz_full,1,6.0447780745986455
45,0.01,zz_full,1,6.5348948857405205
45,0.01,zz_full,1,6.711079829816164
45,0.01,zz_full,1,6.297994101190032
45,0.01,zz_full,1,6.596494733608183
45,0.01,zz_full,1,5.689054300283094
45,0.01,zz_full,1,5.682160185757434
45,0.01,zz_full,1,6.124713151208758
45,0.01,zz_full,1,5.92079200966527
45,0.01,zz_full,1,5.755689988881296
