seed,noise_p,zz_scale,condition,label,delta_pilot
46,0.05,0.3,zz_scale_0.3,1,4.353821468812983
46,0.05,0.3,zz_scale_0.3,1,4.8584371512537405
46,0.05,0.3,zz_scale_0.3,1,4.778956705679044
46,0.1,,clean,0,3.656458687432783
46,0.1,,clean,0,3.9296782961349717
46,0.1,,clean,0,3.4880266586496775
46,0.1,,clean,0,4.131053093189378
46,0.1,,clean,0,4.323754484803913
46,0.1,,clean,0,3.721861085743971
46,0.1,,clean,0,4.075062780854533
46,0.1,,clean,0,4.265518346564832
46,0.1,,clean,0,4.459992289923897
46,0.1,,clean,0,3.368191588045591
46,0.1,,clean,0,4.18370009660697
46,0.1,,clean,0,4.551192935330321
46,0.1,,clean,0,3.959855510813698
46,0.1,,clean,0,3.5417271411687006
46,0.1,,clean,0,3.7127940442440504
46,0.1,0.05,zz_scale_0.05,1,3.9392757459299514
46,0.1,0.05,zz_scale_0.05,1,4.330405410003306
46,0.1,0.05,zz_scale_0.05,1,3.9372873656013283
46,0.1,0.05,zz_scale_0.05,1,3.9003004203502485
46,0.1,0.05,zz_scale_0.05,1,4.104259217757126
46,0.1,0.05,zz_scale_0.05,1,4.173850707683841
46,0.1,0.05,zz_scale_0.05,1,3.3658753213593195
46,0.1,0.05,zz_scale_0.05,1,3.8498769915499476
46,0.1,0.05,zz_scale_0.05,1,4.289145105298334
46,0.1,0.05,zz_scale_0.05,1,3.5563711685194987
46,0.1,0.05,zz_scale_0.05,1,3.799435539744003
46,0.1,0.05,zz_scale_0.05,1,4.1219952899191465
46,0.1,0.05,zz_scale_0.05,1,4.424882106018157
46,0.1,0.05,zz_scale_0.05,1,4.324699402424313
46,0.1,0.05,zz_scale_0.05,1,3.9035557891092556
46,0.1,0.15,zz_scale_0.15,1,3.877296630508262
46,0.1,0.15,zz_scale_0.15,1,4.270273731366122
46,0.1,0.15,zz_scale_0.15,1,4.27730222158003
46,0.1,0.15,zz_scale_0.15,1,4.264849748822908
46,0.1,0.15,zz_scale_0.15,1,4.708362741700415
46,0.1,0.15,zz_scale_0.15,1,4.30367712130105
46,0.1,0.15,zz_scale_0.15,1,3.822651272807573
46,0.1,0.15,zz_scale_0.15,1,4.108363893021878
46,0.1,0.15,zz_scale_0.15,1,4.25117556681117
46,0.1,0.15,zz_scale_0.15,1,3.756408833150075
46,0.1,0.15,zz_scale_0.15,1,4.149766003909334
46,0.1,0.15,zz_scale_0.15,1,4.233928593802836
46,0.1,0.15,zz_scale_0.15,1,4.26092695192646
46,0.1,0.15,zz_scale_0.15,1,4.239206383445677
46,0.1,0.15,zz_scale_0.15,1,3.9243199464404572
46,0.1,0.3,zz_scale_0.3,1,4.41967005103203
46,0.1,0.3,zz_scale_0.3,1,4.127713384946258
46,0.1,0.3,zz_scale_0.3,1,4.326574418273221
46,0.1,0.3,zz_scale_0.3,1,4.627704396494496
46,0.1,0.3,zz_scale_0.3,1,5.056150021414862
46,0.1,0.3,zz_scale_0.3,1,4.774384407797722
46,0.1,0.3,zz_scale_0.3,1,4.3159568435165605
46,0.1,0.3,zz_scale_0.3,1,4.286779956748149
46,0.1,0.3,zz_scale_0.3,1,5.1764882697539445
46,0.1,0.3,zz_scale_0.3,1,4.842084762199267
46,0.1,0.3,zz_scale_0.3,1,4.3415325088815075
46,0.1,0.3,zz_scale_0.3,1,4.368671565386616
46,0.1,0.3,zz_scale_0.3,1,4.676277080426841
46,0.1,0.3,zz_scale_0.3,1,4.1044172568516375
46,0.1,0.3,zz_scale_0.3,1,4.4666636561342
