seed,condition,label,delta_pilot
47,z_only,1,8.523067926032997
47,z_only,1,8.29085420977564
47,z_only,1,8.655461977312603
47,z_only,1,8.096910872412131
47,z_only,1,8.023930196762805
47,z_only,1,8.223248933443996
47,z_only,1,8.224397259640035
47,z_only,1,9.142498882022405
48,clean,0,6.0734735659418515
48,clean,0,6.505195490532911
48,clean,0,5.789140390878525
48,clean,0,5.973863320087483
48,clean,0,5.977241919511278
48,clean,0,6.418420964800391
48,clean,0,6.416773032402243
48,clean,0,6.108712712074536
48,clean,0,6.429778089023235
48,clean,0,7.242468840815583
48,clean,0,6.749830523377172
48,clean,0,6.372654751506706
48,clean,0,6.380667920789036
48,clean,0,6.3372097956586275
48,clean,0,6.405680788570066
48,zz_scale_0.05,1,6.6650761857101495
48,zz_scale_0.05,1,6.203113603468947
48,zz_scale_0.05,1,6.295110371104996
48,zz_scale_0.05,1,6.567316962627038
48,zz_scale_0.05,1,6.944216796690159
48,zz_scale_0.05,1,6.0768007433207964
48,zz_scale_0.05,1,6.695518819775592
48,zz_scale_0.05,1,7.062100828301846
48,zz_scale_0.05,1,6.010524887809533
48,zz_scale_0.05,1,6.206226135723124
48,zz_scale_0.05,1,7.133562507345953
48,zz_scale_0.05,1,6.09290369952194
48,zz_scale_0.05,1,6.523669135515979
48,zz_scale_0.05,1,6.356430607584434
48,zz_scale_0.05,1,6.2662740122916025
48,zz_scale_0.15,1,7.033608167213015
48,zz_scale_0.15,1,6.385475961770548
48,zz_scale_0.15,1,6.175606897556378
48,zz_scale_0.15,1,7.328905013335109
48,zz_scale_0.15,1,7.172504909348455
48,zz_scale_0.15,1,7.631759505836754
48,zz_scale_0.15,1,6.382506029414218
48,zz_scale_0.15,1,7.570534160657368
48,zz_scale_0.15,1,7.169304892745712
48,zz_scale_0.15,1,6.553152885154881
48,zz_scale_0.15,1,6.841922405409958
